City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Tirumullaivasal,IN,78.58,overcast clouds,11.2333,79.8333,Almupaark complex
246,Manaure,CO,81.64,overcast clouds,11.7751,-72.4445,Hotel Palaaima
247,Las Cruces,US,74.28,clear sky,32.3123,-106.7783,Days End Lodge
248,Kuah,MY,80.4,overcast clouds,6.3265,99.8432,Azio Hotel
249,Hit,IQ,75.13,overcast clouds,33.6416,42.8251,صالون زيرو
252,Meulaboh,ID,77.38,overcast clouds,4.1363,96.1285,Kost Pria
253,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
254,Gorontalo,ID,86.22,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
257,Orocue,CO,76.08,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
259,Mitsamiouli,KM,78.39,clear sky,-11.3847,43.2844,Foyer ADM
260,Vila Franca Do Campo,PT,73.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
261,Jacareacanga,BR,75.13,broken clouds,-6.2222,-57.7528,Casa do Ian😎
264,Calabozo,VE,75.69,overcast clouds,8.9242,-67.4293,Hotel Giardini
265,Vangaindrano,MG,71.35,light rain,-23.35,47.6,Hotel Fanilo
277,Victoria,HK,78.24,scattered clouds,22.2855,114.1577,Mini Hotel Central
279,Nara,JP,70.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
284,Sao Desiderio,BR,78.03,overcast clouds,-12.3633,-44.9733,Hotel azaf
289,Isangel,VU,77.99,overcast clouds,-19.55,169.2667,Tanna Lodge
290,Piacabucu,BR,76.91,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
295,Mahibadhoo,MV,83.5,few clouds,3.7833,72.9667,Omadhoo Inn
297,Cam Ranh,VN,80.4,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
298,Soe,ID,81.54,overcast clouds,-9.8607,124.284,Dena Hotel
301,Ishigaki,JP,77.5,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
308,Redlands,US,72.43,overcast clouds,34.0556,-117.1825,Dynasty Suites Redlands
312,Yeppoon,AU,76.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
320,Rong Kwang,TH,74.48,overcast clouds,18.339,100.3174,Rong Kwang Hotel
322,Vieques,PR,81.63,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
326,Humberto De Campos,BR,75.85,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
327,Sumbe,AO,73.96,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
328,Kaffrine,SN,79.9,few clouds,14.1059,-15.5508,Beuleup counda motel
331,Ouanaminthe,HT,76.26,few clouds,19.55,-71.7333,Chylton Hotel
334,Grand-Santi,GF,72.99,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
338,Sakakah,SA,72.95,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
343,Sevilla,ES,70.0,overcast clouds,37.3824,-5.9761,Hotel Sevilla Center
349,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
351,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
358,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
360,Touros,BR,79.48,few clouds,-5.1989,-35.4608,INN NEW HORIZON
361,Lethem,GY,79.68,overcast clouds,3.3803,-59.7968,Savannah Inn
362,San Patricio,US,76.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
367,Rio Grande,BR,71.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
370,Cuamba,MZ,76.01,clear sky,-14.8031,36.5372,Hotel Vision
374,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
375,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
377,Mayumba,GA,77.02,light rain,-3.432,10.6554,LIKWALE LODGE
379,Sao Gabriel Da Cachoeira,BR,76.82,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
380,Bage,BR,71.38,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
382,Mattru,SL,72.12,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
385,West Bay,KY,82.47,broken clouds,19.3667,-81.4167,Calypso Cove
386,Koumac,NC,78.6,clear sky,-20.5667,164.2833,Le Monitel
388,Wanning,CN,78.35,scattered clouds,18.8003,110.3967,Paradise Hotel
389,Tecoanapa,MX,79.39,clear sky,16.5167,-98.75,Hotel Manglares
395,Bengkulu,ID,78.3,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
397,Sao Filipe,CV,79.39,overcast clouds,14.8961,-24.4956,Hotel Xaguate
398,Marsh Harbour,BS,76.82,clear sky,26.5412,-77.0636,Abaco Beach Resort
402,Yenagoa,NG,75.97,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
407,Eyl,SO,77.23,few clouds,7.9803,49.8164,Amiin Hotel
408,Hobyo,SO,79.95,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
409,Tevaitoa,PF,78.67,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
410,Anloga,GH,80.76,light rain,5.7947,0.8973,Pin Drop Hotel
416,Caravelas,BR,75.18,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
418,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
421,Souillac,MU,70.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
422,Ca Mau,VN,81.23,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
425,Pundaguitan,PH,82.35,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
426,Itaporanga,BR,87.62,overcast clouds,-7.3044,-38.1503,Hotel Rainha do Vale
432,Hun,LY,70.59,clear sky,29.1268,15.9477,Alrwasi Hotel
436,Qurayyat,SA,71.65,overcast clouds,31.3318,37.3428,Mozon Furnished Aprtments
440,Warri,NG,75.67,overcast clouds,5.5167,5.75,BON Hotel Delta
444,Notse,TG,75.36,overcast clouds,6.95,1.1667,Le Berceau
446,Vaitape,PF,78.76,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
